Date,DesignCycleCount70,CycleCount,DesignCycleCount9C,MaxCapacity,CurrentCapacity,DesignCapacity
2012-08-14 12:52:00,65535,1,1000,6664,4008,6700
2012-08-14 12:53:00,65535,1,1000,6664,3991,6700
2012-08-14 12:54:00,65535,1,1000,6664,3978,6700
2012-08-14 12:55:00,65535,1,1000,6664,3956,6700
2012-08-14 12:56:00,65535,1,1000,6664,3933,6700
2012-08-14 12:57:00,65535,1,1000,6664,3907,6700
2012-08-14 12:58:00,65535,1,1000,6664,3890,6700
2012-08-14 12:59:00,65535,1,1000,6664,3874,6700
2012-08-14 13:00:00,65535,1,1000,6664,3855,6700
2012-08-14 13:01:00,65535,1,1000,6664,3847,6700
2012-08-14 13:02:00,65535,1,1000,6664,3830,6700
2012-08-14 13:03:00,65535,1,1000,6664,3814,6700
2012-08-14 13:04:00,65535,1,1000,6664,3796,6700
2012-08-14 13:05:00,65535,1,1000,6664,3780,6700
2012-08-14 13:06:00,65535,1,1000,6664,3761,6700
2012-08-14 13:07:00,65535,1,1000,6664,3747,6700
2012-08-14 13:08:00,65535,1,1000,6664,3728,6700
2012-08-14 13:09:00,65535,1,1000,6664,3711,6700
2012-08-14 13:10:00,65535,1,1000,6664,3692,6700
2012-08-14 13:11:00,65535,1,1000,6664,3668,6700
2012-08-14 13:12:00,65535,1,1000,6664,3649,6700
2012-08-14 13:13:00,65535,1,1000,6664,3629,6700
2012-08-14 13:14:00,65535,1,1000,6657,3602,6700
2012-08-14 13:15:00,65535,1,1000,6657,3582,6700
2012-08-14 13:16:00,65535,1,1000,6657,3563,6700
2012-08-14 13:17:00,65535,1,1000,6657,3545,6700
2012-08-14 13:29:00,65535,1,1000,6657,3522,6700
2012-08-14 13:30:00,65535,1,1000,6662,3504,6700
2012-08-14 13:37:22,65535,1,1000,6662,3486,6700
2012-08-14 13:38:00,65535,1,1000,6663,3461,6700
2012-08-14 13:39:00,65535,1,1000,6663,3441,6700
2012-08-14 13:40:00,65535,1,1000,6663,3421,6700
2012-08-14 13:41:00,65535,1,1000,6663,3410,6700
2012-08-14 14:34:00,65535,1,1000,6641,3253,6700
2012-08-14 14:35:00,65535,1,1000,6641,3232,6700
2012-08-14 14:36:00,65535,1,1000,6641,3210,6700
2012-08-14 14:37:00,65535,1,1000,6641,3187,6700
2012-08-14 14:38:00,65535,1,1000,6641,3164,6700
